Storeid,Cogs,Date,MarketSize,Market,Marketing,ProductLine,ProductType,Product,Profit,Sales,State,TargetCOGS,TargetProfit,TargetSales,OtherExpenses
303,51,01-10-2012,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-5,122,Colorado,30,30,90,76
970,52,01-10-2012,Major Market,Central,17,Leaves,Herbal Tea,Mint,26,123,Colorado,30,50,90,45
409,43,01-10-2012,Major Market,South,13,Leaves,Herbal Tea,Lemon,28,107,Texas,30,50,90,36
850,38,01-10-2012,Major Market,East,10,Leaves,Tea,Darjeeling,35,94,Florida,40,50,100,21
562,72,01-10-2012,Major Market,West,23,Leaves,Tea,Green Tea,56,182,California,20,50,80,54
712,0,01-10-2012,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,60,60,12
860,47,01-10-2012,Small Market,East,15,Beans,Espresso,Decaf Espresso,21,111,Connecticut,30,50,90,43
918,27,01-10-2012,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,21,66,Oklahoma,30,60,90,18
775,31,01-10-2012,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,7,68,Nevada,30,50,90,30
435,40,01-10-2012,Small Market,West,11,Beans,Espresso,Decaf Espresso,37,99,Utah,20,60,80,22
603,49,01-10-2012,Small Market,East,15,Beans,Coffee,Amaretto,33,120,New Hampshire,30,60,90,38
603,45,01-10-2012,Small Market,East,14,Beans,Coffee,Colombian,24,114,New Hampshire,30,50,90,45
603,45,01-10-2012,Small Market,East,41,Beans,Espresso,Caffe Mocha,-7,109,New Hampshire,30,30,90,71
318,60,01-10-2012,Small Market,South,54,Beans,Espresso,Caffe Latte,1,144,Louisiana,30,10,90,83
775,34,01-10-2012,Small Market,West,12,Beans,Coffee,Colombian,-2,77,Nevada,40,30,100,45
503,54,01-10-2012,Small Market,West,20,Beans,Espresso,Caffe Latte,12,120,Oregon,40,40,100,54
573,45,01-10-2012,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-6,109,Missouri,20,30,80,70
262,48,01-10-2012,Small Market,Central,13,Leaves,Herbal Tea,Lemon,45,118,Wisconsin,30,60,90,25
801,49,01-10-2012,Small Market,West,15,Leaves,Herbal Tea,Chamomile,33,120,Utah,30,60,90,38
425,48,01-10-2012,Small Market,West,13,Leaves,Herbal Tea,Lemon,47,119,Washington,30,60,90,24
860,40,01-10-2012,Small Market,East,11,Leaves,Tea,Darjeeling,36,99,Connecticut,40,50,100,23
971,82,01-10-2012,Small Market,West,27,Leaves,Tea,Earl Grey,64,205,Oregon,30,50,90,59
971,91,01-10-2012,Small Market,West,28,Leaves,Tea,Green Tea,76,218,Oregon,40,50,100,51
915,40,01-11-2012,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,26,92,Texas,40,40,100,26
210,50,01-11-2012,Major Market,South,14,Beans,Espresso,Decaf Espresso,48,123,Texas,30,40,90,25
970,40,01-11-2012,Major Market,Central,13,Beans,Coffee,Colombian,27,92,Colorado,30,40,90,25
774,52,01-11-2012,Major Market,East,47,Beans,Espresso,Caffe Mocha,-8,120,Massachusetts,50,0,110,76
954,75,01-11-2012,Major Market,East,23,Leaves,Herbal Tea,Mint,44,164,Florida,50,30,110,45
936,46,01-11-2012,Major Market,South,14,Leaves,Herbal Tea,Lemon,31,114,Texas,40,30,100,37
719,55,01-11-2012,Major Market,Central,20,Leaves,Tea,Darjeeling,15,124,Colorado,40,20,100,54
847,50,01-11-2012,Major Market,Central,14,Leaves,Tea,Darjeeling,48,123,Illinois,40,40,100,25
719,57,01-11-2012,Major Market,Central,17,Leaves,Tea,Earl Grey,29,125,Colorado,40,30,100,39
339,36,01-11-2012,Major Market,East,10,Leaves,Tea,Darjeeling,31,88,Massachusetts,30,40,90,21
314,33,01-11-2012,Small Market,Central,9,Beans,Espresso,Decaf Espresso,27,81,Missouri,40,50,100,21
504,31,01-11-2012,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,28,78,Louisiana,30,50,90,19
580,36,01-11-2012,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,30,88,Oklahoma,40,40,100,22
225,49,01-11-2012,Small Market,South,15,Beans,Espresso,Decaf Espresso,34,120,Louisiana,30,30,90,37
262,54,01-11-2012,Small Market,Central,20,Beans,Coffee,Amaretto,14,121,Wisconsin,50,20,110,53
603,46,01-11-2012,Small Market,East,14,Beans,Coffee,Amaretto,30,113,New Hampshire,40,40,100,37
603,43,01-11-2012,Small Market,East,14,Beans,Coffee,Colombian,20,109,New Hampshire,30,30,90,46
603,44,01-11-2012,Small Market,East,40,Beans,Espresso,Caffe Mocha,-8,106,New Hampshire,40,10,100,70
225,53,01-11-2012,Small Market,South,16,Beans,Espresso,Caffe Mocha,49,141,Louisiana,40,30,100,39
425,54,01-11-2012,Small Market,West,20,Beans,Espresso,Caffe Mocha,13,121,Washington,50,20,110,54
918,54,01-11-2012,Small Market,South,20,Leaves,Herbal Tea,Chamomile,13,121,Oklahoma,50,20,110,54
801,46,01-11-2012,Small Market,West,14,Leaves,Herbal Tea,Chamomile,30,113,Utah,40,30,100,37
435,43,01-11-2012,Small Market,West,14,Leaves,Herbal Tea,Lemon,20,109,Utah,40,30,100,46
509,47,01-11-2012,Small Market,West,13,Leaves,Herbal Tea,Lemon,44,115,Washington,40,40,100,24
203,36,01-11-2012,Small Market,East,10,Leaves,Tea,Green Tea,33,90,Connecticut,30,40,90,21
206,61,01-11-2012,Small Market,West,55,Leaves,Tea,Green Tea,1,147,Washington,40,0,100,85
682,43,01-12-2012,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,30,99,Texas,50,40,110,26
214,54,01-12-2012,Major Market,South,15,Beans,Espresso,Decaf Espresso,52,133,Texas,40,40,100,27
970,47,01-12-2012,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-6,112,Colorado,40,0,100,71
303,54,01-12-2012,Major Market,Central,17,Leaves,Herbal Tea,Mint,29,127,Colorado,50,30,110,44
954,65,01-12-2012,Major Market,East,24,Leaves,Herbal Tea,Lemon,23,145,Florida,40,20,100,57
561,80,01-12-2012,Major Market,East,24,Leaves,Herbal Tea,Mint,50,176,Florida,60,30,120,46
469,54,01-12-2012,Major Market,South,17,Leaves,Herbal Tea,Chamomile,28,127,Texas,50,30,110,45
214,41,01-12-2012,Major Market,South,13,Leaves,Herbal Tea,Lemon,24,101,Texas,30,30,90,36
619,54,01-12-2012,Major Market,West,15,Leaves,Tea,Earl Grey,53,133,California,30,50,90,26
314,31,01-12-2012,Small Market,Central,8,Beans,Espresso,Decaf Espresso,27,77,Missouri,30,50,90,19
225,34,01-12-2012,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,31,85,Louisiana,40,50,100,20
580,33,01-12-2012,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,28,82,Oklahoma,30,50,90,21
603,48,01-12-2012,Small Market,East,15,Beans,Coffee,Colombian,28,122,New Hampshire,40,30,100,46
985,55,01-12-2012,Small Market,South,49,Beans,Espresso,Caffe Latte,-3,131,Louisiana,40,0,100,79
505,49,01-12-2012,Small Market,South,44,Beans,Espresso,Caffe Mocha,-5,118,New Mexico,30,10,90,74
775,39,01-12-2012,Small Market,West,14,Beans,Coffee,Colombian,1,88,Nevada,40,20,100,48
417,49,01-12-2012,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-5,118,Missouri,40,0,100,74
920,41,01-12-2012,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,30,107,Wisconsin,30,30,90,36
573,92,01-12-2012,Small Market,Central,28,Leaves,Herbal Tea,Lemon,16,160,Missouri,80,20,140,52
